-833,-499,-1391|84,17,61|-4,1,1
-168,3586,-2721|-61,-58,61|7,-13,8
364,223,1877|31,-11,-71|-5,0,-3
769,-854,-8705|-20,4,64|0,1,9
6985,-3666,3653|-112,99,-23|-4,0,-4
7688,-2445,1026|-55,66,-142|-8,0,6
7281,-151,-5042|-177,99,41|-1,-5,5
-2191,71,1322|174,17,-93|-6,-1,3
1509,2624,-5338|-40,5,-8|0,-4,8
1213,5658,175|120,-39,-119|-8,-6,6
621,-6996,-7410|117,113,-9|-7,4,11
5468,6435,-787|-33,-3,21|-6,-9,0
-489,5399,-5375|-81,-32,-83|5,-6,12
2591,1300,629|-103,-48,44|-5,-3,-9
-44,-1216,-2499|-2,73,93|1,0,6
-129,773,-272|21,-44,-20|-1,0,4
-2033,790,-289|88,-27,-82|4,-2,11
-10,3459,-748|5,-121,35|0,-9,1
-2016,-978,-408|69,14,-57|6,5,9
-1472,1419,782|82,-28,-73|1,-6,3
-2262,1939,268|-49,75,47|6,-7,-3
348,-3515,5362|8,97,-150|-1,0,0
7872,7213,10510|-53,21,3|-9,-12,-16
942,229,1456|-27,-44,-23|0,2,-1
519,3012,1233|-58,-115,-62|3,-11,-2
264,-48,-987|7,-47,14|-3,6,7
39,1497,-192|-10,-54,41|1,-6,-3
309,-3558,-1647|28,139,74|-6,12,5
1881,-7333,4674|-12,59,9|-3,11,-10
-3513,1502,-1774|130,46,57|-1,-6,0
10437,13809,2349|-80,-143,-12|-16,-19,-4
802,125,1425|-81,-70,-113|4,7,3
190,-3394,1153|27,164,-52|-4,4,-2
-371,720,-2706|24,-24,139|0,-2,2
3,-708,218|-16,-3,-15|2,5,0
20,-1388,932|-35,118,-57|4,-4,0
-2394,-827,677|-1,-14,-24|16,7,-2
428,669,-921|31,-66,52|-6,3,0
496,-1099,-224|27,92,29|-6,-3,-2
-405,-2544,-2638|44,105,90|-2,5,7
-677,295,2547|42,-26,-8|0,1,-16
-1893,-2194,-216|66,45,45|9,15,-4
-2257,382,-2610|152,-19,81|1,-1,14
620,1222,141|-46,-64,-78|0,-3,9
200,886,701|14,-70,2|-4,1,-7
-815,-87,-531|19,-38,105|5,6,-9
2262,-790,1231|-121,81,-16|0,-4,-5
-1120,-2538,-99|-3,53,-16|6,8,2
-256,3019,-787|-30,-24,-18|4,-11,5
-802,-2441,1418|-37,115,75|7,0,-13
3419,-908,809|4,-2,-28|-15,4,-1
-634,373,2657|-12,3,-72|4,-2,-5
-214,-2252,683|100,40,22|-8,6,-5
17,-572,1775|56,26,3|-5,0,-8
1403,4867,578|-32,-57,-61|-3,-16,3
-1096,4867,935|-23,-57,10|7,-16,-5
-4750,-1076,95|140,50,-115|8,0,10
-1453,-614,-619|126,-60,29|-5,8,0
2433,-2706,3506|74,74,-116|-10,1,0
-207,-1806,2921|7,-80,43|0,9,-9
-2337,-1311,-2239|47,43,-33|2,0,7
4833,3084,-3379|-68,67,67|-6,-11,3
2575,-2395,-3713|-105,-9,103|-1,10,6
1277,4975,-666|-69,-160,-47|1,-6,7
3147,80,-1502|-131,28,-55|-1,-3,11
2025,3369,907|-126,5,-38|3,-14,0
-2533,-2136,-6908|16,-26,171|6,8,7
925,4559,-3710|-63,-54,102|2,-9,3
-492,-8181,-3047|-22,85,90|3,17,2
-1259,-2552,346|48,-91,-54|0,14,3
1861,-3072,-6427|-18,-17,58|-4,10,14
379,2323,-4399|-96,59,88|6,-11,6
1588,-4840,-3177|-48,78,14|-1,8,8
-1038,-264,-278|53,-44,159|-1,4,-11
808,3220,-512|-18,-97,87|-1,-2,-5
-638,6801,4430|19,80,-43|0,-16,-5
10446,1786,1132|-97,-35,-16|-12,-1,-1
-710,-239,-516|38,-28,-33|1,6,9
-297,1497,2053|61,-92,-134|-6,-2,-2
2447,-841,-957|-75,45,66|-14,2,0
1740,139,562|13,-25,-50|-19,2,1
-402,937,-600|16,-7,-12|1,-8,7
-1564,1518,884|24,19,-88|11,-17,3
-87,-645,-362|-29,-29,-14|4,10,5
354,-715,-40|-38,96,-67|1,-6,9
2664,2204,765|-188,-75,-72|-1,-11,2
-3106,3879,-4272|104,-34,139|-1,-4,-1
-6094,-5859,-9726|39,107,13|7,3,14
-8668,801,5898|-19,-4,23|14,-1,-10
368,532,808|-67,-131,-44|6,15,-6
-417,92,493|28,12,-62|3,-3,3
1218,-1663,1788|-108,127,-175|-2,8,0
108,592,823|36,-82,-51|-8,5,-5
-1062,792,118|109,-69,36|0,-1,-8
313,117,-1407|10,-40,84|-7,6,11
2526,-4412,2808|-97,88,29|1,3,-7
-6258,-604,-3064|95,2,64|6,1,2
-4866,-3788,872|68,-80,40|5,12,-4
3406,1380,632|24,6,130|-8,-3,-9
-8898,-3356,3192|62,154,83|13,-3,-11
3852,-267,1655|0,12,-95|-14,0,2
793,1021,344|-59,-8,-26|2,-3,1
1230,9,-3313|18,24,13|-6,-2,11
-5808,-1279,574|48,68,12|17,-1,-3
972,-346,1421|38,14,-36|-5,0,-1
4290,4120,259|-8,-15,-38|-10,-9,2
-5510,-948,-2233|-6,79,22|14,-3,4
3394,2258,2611|-34,66,81|-6,-10,-12
2512,-3034,3045|-17,110,-36|-5,0,-5
-5482,1040,1183|80,-21,-42|8,-1,0
2988,-7738,-3675|53,133,1|-11,10,9
3842,4568,2849|37,27,29|-12,-13,-9
-6014,2454,-805|-17,-57,29|16,-2,0
-8408,-850,-203|112,-84,22|13,8,-1
1079,-2814,-212|59,22,36|-7,6,-2
3806,2478,-131|42,-48,-121|-13,-3,9
3779,2532,-995|-55,62,65|-6,-11,-2
2024,2721,-536|-74,-15,-78|0,-6,7
2537,4260,-2615|-65,-2,69|-2,-11,2
-919,534,4513|-63,24,-111|7,-3,-4
-3446,8037,9158|77,-2,-125|1,-12,-7
4942,-1503,-2128|-8,78,-52|-7,-2,6
1252,-2259,13568|-35,62,-81|0,0,-16
-1592,1593,1256|7,-45,-72|2,0,2
-4184,3213,-13882|116,-90,145|0,0,13
-6938,2781,-8662|-11,-41,-37|11,-2,15
8362,-1197,8888|-103,-60,-25|-7,5,-12
-3248,-387,-12442|-58,84,142|8,-4,11
3731,-1805,-652|-101,-67,43|-6,13,-1
-2935,-4500,1823|110,67,-58|2,12,-2
-427,-1035,-3457|-4,-79,90|2,11,6
4248,4487,1218|-90,-8,4|-9,-17,-5
-955,-980,-146|-118,114,43|14,-6,-3
-4937,-1970,767|63,21,36|14,6,-6
2070,-1937,-4645|32,77,190|-11,1,2
-3826,-683,-3908|139,-26,99|3,5,7
-3444,-3030,-2594|45,15,-105|3,4,10
2996,2920,-2244|-175,-65,119|5,-1,-3
4988,9764,-12441|-128,-91,98|0,-8,11
8654,3719,-10530|-142,44,89|-4,-7,9
